,long,lat,value
250,-25.6125345,-49.38729786,1.0
251,-25.6125345,-49.38321558,1.0
252,-25.6125345,-49.3791333,1.0
253,-25.6125345,-49.37505102,1.0
254,-25.6125345,-49.37096874,1.0
255,-25.6125345,-49.36688646,1.0
256,-25.6125345,-49.36280418,1.0
257,-25.6125345,-49.3587219,1.0
258,-25.6125345,-49.35463962,1.0
259,-25.6125345,-49.35055734,1.0
260,-25.6125345,-49.34647506,1.0
261,-25.6125345,-49.34239278,1.0
262,-25.6125345,-49.3383105,1.0
263,-25.6125345,-49.33422822,1.0
264,-25.6125345,-49.33014594,1.0
265,-25.6125345,-49.32606366,1.0
266,-25.6125345,-49.32198138,1.0
267,-25.6125345,-49.3178991,1.0
268,-25.6125345,-49.31381682,1.0
269,-25.6125345,-49.30973454,1.0
270,-25.6125345,-49.30565226,1.0
271,-25.6125345,-49.30156998,1.0
272,-25.6125345,-49.2974877,1.0
273,-25.6125345,-49.29340542,1.0
274,-25.6125345,-49.28932314,1.0
275,-25.6125345,-49.28524086,1.0
276,-25.6125345,-49.28115858,1.0
277,-25.6125345,-49.2770763,1.0
278,-25.6125345,-49.27299402,1.0
279,-25.6125345,-49.26891174,1.0
280,-25.6125345,-49.26482946,1.0
281,-25.6125345,-49.26074718,1.0
282,-25.6125345,-49.2566649,1.0
283,-25.6125345,-49.25258262,1.0
284,-25.6125345,-49.24850034,1.0
285,-25.6125345,-49.24441806,1.0
286,-25.6125345,-49.24033578,1.0
287,-25.6125345,-49.2362535,1.0
288,-25.6125345,-49.23217122,1.0
289,-25.6125345,-49.22808894,1.0
290,-25.6125345,-49.22400666,1.0
291,-25.6125345,-49.21992438,1.0
292,-25.6125345,-49.2158421,1.0
293,-25.6125345,-49.21175982,1.0
294,-25.6125345,-49.20767754,1.0
295,-25.6125345,-49.20359526,1.0
296,-25.6125345,-49.19951298,1.0
297,-25.6125345,-49.1954307,1.0
298,-25.6125345,-49.19134842,1.0
299,-25.6125345,-49.18726614,1.0
300,-25.6065615,-49.38729786,1.0
301,-25.6065615,-49.38321558,1.0
302,-25.6065615,-49.3791333,1.0
303,-25.6065615,-49.37505102,1.0
304,-25.6065615,-49.37096874,1.0
305,-25.6065615,-49.36688646,1.0
306,-25.6065615,-49.36280418,1.0
307,-25.6065615,-49.3587219,1.0
308,-25.6065615,-49.35463962,1.0
309,-25.6065615,-49.35055734,1.0
310,-25.6065615,-49.34647506,1.0
311,-25.6065615,-49.34239278,1.0
312,-25.6065615,-49.3383105,1.0
313,-25.6065615,-49.33422822,1.0
314,-25.6065615,-49.33014594,1.0
315,-25.6065615,-49.32606366,1.0
316,-25.6065615,-49.32198138,1.0
317,-25.6065615,-49.3178991,1.0
318,-25.6065615,-49.31381682,1.0
319,-25.6065615,-49.30973454,1.0
320,-25.6065615,-49.30565226,1.0
321,-25.6065615,-49.30156998,1.0
322,-25.6065615,-49.2974877,1.0
323,-25.6065615,-49.29340542,1.0
324,-25.6065615,-49.28932314,1.0
325,-25.6065615,-49.28524086,1.0
326,-25.6065615,-49.28115858,1.0
327,-25.6065615,-49.2770763,1.0
328,-25.6065615,-49.27299402,1.0
329,-25.6065615,-49.26891174,1.0
330,-25.6065615,-49.26482946,1.0
331,-25.6065615,-49.26074718,1.0
332,-25.6065615,-49.2566649,1.0
333,-25.6065615,-49.25258262,1.0
334,-25.6065615,-49.24850034,1.0
335,-25.6065615,-49.24441806,1.0
336,-25.6065615,-49.24033578,1.0
337,-25.6065615,-49.2362535,1.0
338,-25.6065615,-49.23217122,1.0
339,-25.6065615,-49.22808894,1.0
340,-25.6065615,-49.22400666,1.0
341,-25.6065615,-49.21992438,1.0
342,-25.6065615,-49.2158421,1.0
343,-25.6065615,-49.21175982,1.0
344,-25.6065615,-49.20767754,1.0
345,-25.6065615,-49.20359526,1.0
346,-25.6065615,-49.19951298,1.0
347,-25.6065615,-49.1954307,1.0
348,-25.6065615,-49.19134842,1.0
349,-25.6065615,-49.18726614,1.0
350,-25.6005885,-49.38729786,1.0
351,-25.6005885,-49.38321558,1.0
352,-25.6005885,-49.3791333,1.0
353,-25.6005885,-49.37505102,1.0
354,-25.6005885,-49.37096874,1.0
355,-25.6005885,-49.36688646,1.0
356,-25.6005885,-49.36280418,1.0
357,-25.6005885,-49.3587219,1.0
358,-25.6005885,-49.35463962,1.0
359,-25.6005885,-49.35055734,1.0
360,-25.6005885,-49.34647506,1.0
361,-25.6005885,-49.34239278,1.0
362,-25.6005885,-49.3383105,1.0
363,-25.6005885,-49.33422822,1.0
364,-25.6005885,-49.33014594,1.0
365,-25.6005885,-49.32606366,1.0
366,-25.6005885,-49.32198138,1.0
367,-25.6005885,-49.3178991,1.0
368,-25.6005885,-49.31381682,1.0
369,-25.6005885,-49.30973454,1.0
370,-25.6005885,-49.30565226,1.0
371,-25.6005885,-49.30156998,1.0
372,-25.6005885,-49.2974877,1.0
373,-25.6005885,-49.29340542,1.0
374,-25.6005885,-49.28932314,1.0
375,-25.6005885,-49.28524086,1.0
376,-25.6005885,-49.28115858,1.0
377,-25.6005885,-49.2770763,1.0
378,-25.6005885,-49.27299402,1.0
379,-25.6005885,-49.26891174,1.0
380,-25.6005885,-49.26482946,1.0
381,-25.6005885,-49.26074718,1.0
382,-25.6005885,-49.2566649,1.0
383,-25.6005885,-49.25258262,1.0
384,-25.6005885,-49.24850034,1.0
385,-25.6005885,-49.24441806,1.0
386,-25.6005885,-49.24033578,1.0
387,-25.6005885,-49.2362535,1.0
388,-25.6005885,-49.23217122,1.0
389,-25.6005885,-49.22808894,1.0
390,-25.6005885,-49.22400666,1.0
391,-25.6005885,-49.21992438,1.0
392,-25.6005885,-49.2158421,1.0
393,-25.6005885,-49.21175982,1.0
394,-25.6005885,-49.20767754,1.0
395,-25.6005885,-49.20359526,1.0
396,-25.6005885,-49.19951298,1.0
397,-25.6005885,-49.1954307,1.0
398,-25.6005885,-49.19134842,1.0
399,-25.6005885,-49.18726614,1.0
400,-25.5946155,-49.38729786,1.0
401,-25.5946155,-49.38321558,1.0
402,-25.5946155,-49.3791333,1.0
403,-25.5946155,-49.37505102,1.0
404,-25.5946155,-49.37096874,1.0
405,-25.5946155,-49.36688646,1.0
406,-25.5946155,-49.36280418,1.0
407,-25.5946155,-49.3587219,1.0
408,-25.5946155,-49.35463962,1.0
409,-25.5946155,-49.35055734,1.0
410,-25.5946155,-49.34647506,1.0
411,-25.5946155,-49.34239278,1.0
412,-25.5946155,-49.3383105,1.0
413,-25.5946155,-49.33422822,1.0
414,-25.5946155,-49.33014594,1.0
415,-25.5946155,-49.32606366,1.0
416,-25.5946155,-49.32198138,1.0
417,-25.5946155,-49.3178991,1.0
418,-25.5946155,-49.31381682,1.0
419,-25.5946155,-49.30973454,1.0
420,-25.5946155,-49.30565226,1.0
421,-25.5946155,-49.30156998,1.0
422,-25.5946155,-49.2974877,1.0
423,-25.5946155,-49.29340542,1.0
424,-25.5946155,-49.28932314,1.0
425,-25.5946155,-49.28524086,1.0
426,-25.5946155,-49.28115858,1.0
427,-25.5946155,-49.2770763,1.0
428,-25.5946155,-49.27299402,1.0
429,-25.5946155,-49.26891174,1.0
430,-25.5946155,-49.26482946,1.0
431,-25.5946155,-49.26074718,1.0
432,-25.5946155,-49.2566649,1.0
433,-25.5946155,-49.25258262,1.0
434,-25.5946155,-49.24850034,1.0
435,-25.5946155,-49.24441806,1.0
436,-25.5946155,-49.24033578,1.0
437,-25.5946155,-49.2362535,1.0
438,-25.5946155,-49.23217122,1.0
439,-25.5946155,-49.22808894,1.0
440,-25.5946155,-49.22400666,1.0
441,-25.5946155,-49.21992438,1.0
442,-25.5946155,-49.2158421,1.0
443,-25.5946155,-49.21175982,1.0
444,-25.5946155,-49.20767754,1.0
445,-25.5946155,-49.20359526,1.0
446,-25.5946155,-49.19951298,1.0
447,-25.5946155,-49.1954307,1.0
448,-25.5946155,-49.19134842,1.0
449,-25.5946155,-49.18726614,1.0
450,-25.5886425,-49.38729786,1.0
451,-25.5886425,-49.38321558,1.0
452,-25.5886425,-49.3791333,1.0
453,-25.5886425,-49.37505102,1.0
454,-25.5886425,-49.37096874,1.0
455,-25.5886425,-49.36688646,1.0
456,-25.5886425,-49.36280418,1.0
457,-25.5886425,-49.3587219,1.0
458,-25.5886425,-49.35463962,1.0
459,-25.5886425,-49.35055734,1.0
460,-25.5886425,-49.34647506,1.0
461,-25.5886425,-49.34239278,1.0
462,-25.5886425,-49.3383105,1.0
463,-25.5886425,-49.33422822,1.0
464,-25.5886425,-49.33014594,1.0
465,-25.5886425,-49.32606366,1.0
466,-25.5886425,-49.32198138,1.0
467,-25.5886425,-49.3178991,1.0
468,-25.5886425,-49.31381682,1.0
469,-25.5886425,-49.30973454,1.0
470,-25.5886425,-49.30565226,1.0
471,-25.5886425,-49.30156998,1.0
472,-25.5886425,-49.2974877,1.0
473,-25.5886425,-49.29340542,1.0
474,-25.5886425,-49.28932314,1.0
475,-25.5886425,-49.28524086,1.0
476,-25.5886425,-49.28115858,1.0
477,-25.5886425,-49.2770763,1.0
478,-25.5886425,-49.27299402,1.0
479,-25.5886425,-49.26891174,1.0
480,-25.5886425,-49.26482946,1.0
481,-25.5886425,-49.26074718,1.0
482,-25.5886425,-49.2566649,1.0
483,-25.5886425,-49.25258262,1.0
484,-25.5886425,-49.24850034,1.0
485,-25.5886425,-49.24441806,1.0
486,-25.5886425,-49.24033578,1.0
487,-25.5886425,-49.2362535,1.0
488,-25.5886425,-49.23217122,1.0
489,-25.5886425,-49.22808894,1.0
490,-25.5886425,-49.22400666,1.0
491,-25.5886425,-49.21992438,1.0
492,-25.5886425,-49.2158421,1.0
493,-25.5886425,-49.21175982,1.0
494,-25.5886425,-49.20767754,1.0
495,-25.5886425,-49.20359526,1.0
496,-25.5886425,-49.19951298,1.0
497,-25.5886425,-49.1954307,1.0
498,-25.5886425,-49.19134842,1.0
499,-25.5886425,-49.18726614,1.0
500,-25.5826695,-49.38729786,1.0
501,-25.5826695,-49.38321558,1.0
502,-25.5826695,-49.3791333,1.0
503,-25.5826695,-49.37505102,1.0
504,-25.5826695,-49.37096874,1.0
505,-25.5826695,-49.36688646,1.0
506,-25.5826695,-49.36280418,1.0
507,-25.5826695,-49.3587219,1.0
508,-25.5826695,-49.35463962,1.0
509,-25.5826695,-49.35055734,1.0
510,-25.5826695,-49.34647506,1.0
511,-25.5826695,-49.34239278,1.0
512,-25.5826695,-49.3383105,1.0
513,-25.5826695,-49.33422822,1.0
514,-25.5826695,-49.33014594,1.0
515,-25.5826695,-49.32606366,1.0
516,-25.5826695,-49.32198138,1.0
517,-25.5826695,-49.3178991,1.0
518,-25.5826695,-49.31381682,1.0
519,-25.5826695,-49.30973454,1.0
520,-25.5826695,-49.30565226,1.0
521,-25.5826695,-49.30156998,1.0
522,-25.5826695,-49.2974877,1.0
523,-25.5826695,-49.29340542,1.0
524,-25.5826695,-49.28932314,1.0
525,-25.5826695,-49.28524086,1.0
526,-25.5826695,-49.28115858,1.0
527,-25.5826695,-49.2770763,1.0
528,-25.5826695,-49.27299402,1.0
529,-25.5826695,-49.26891174,1.0
530,-25.5826695,-49.26482946,1.0
531,-25.5826695,-49.26074718,1.0
532,-25.5826695,-49.2566649,1.0
533,-25.5826695,-49.25258262,1.0
534,-25.5826695,-49.24850034,1.0
535,-25.5826695,-49.24441806,1.0
536,-25.5826695,-49.24033578,1.0
537,-25.5826695,-49.2362535,1.0
538,-25.5826695,-49.23217122,1.0
539,-25.5826695,-49.22808894,1.0
540,-25.5826695,-49.22400666,1.0
541,-25.5826695,-49.21992438,1.0
542,-25.5826695,-49.2158421,1.0
543,-25.5826695,-49.21175982,1.0
544,-25.5826695,-49.20767754,1.0
545,-25.5826695,-49.20359526,1.0
546,-25.5826695,-49.19951298,1.0
547,-25.5826695,-49.1954307,1.0
548,-25.5826695,-49.19134842,1.0
549,-25.5826695,-49.18726614,1.0
550,-25.5766965,-49.38729786,1.0
551,-25.5766965,-49.38321558,1.0
552,-25.5766965,-49.3791333,1.0
553,-25.5766965,-49.37505102,1.0
554,-25.5766965,-49.37096874,1.0
555,-25.5766965,-49.36688646,1.0
556,-25.5766965,-49.36280418,1.0
557,-25.5766965,-49.3587219,1.0
558,-25.5766965,-49.35463962,1.0
559,-25.5766965,-49.35055734,1.0
560,-25.5766965,-49.34647506,1.0
561,-25.5766965,-49.34239278,1.0
562,-25.5766965,-49.3383105,1.0
563,-25.5766965,-49.33422822,1.0
564,-25.5766965,-49.33014594,1.0
565,-25.5766965,-49.32606366,1.0
566,-25.5766965,-49.32198138,1.0
567,-25.5766965,-49.3178991,1.0
568,-25.5766965,-49.31381682,1.0
569,-25.5766965,-49.30973454,1.0
570,-25.5766965,-49.30565226,1.0
571,-25.5766965,-49.30156998,1.0
572,-25.5766965,-49.2974877,1.0
573,-25.5766965,-49.29340542,1.0
574,-25.5766965,-49.28932314,1.0
575,-25.5766965,-49.28524086,1.0
576,-25.5766965,-49.28115858,1.0
577,-25.5766965,-49.2770763,1.0
578,-25.5766965,-49.27299402,1.0
579,-25.5766965,-49.26891174,1.0
580,-25.5766965,-49.26482946,1.0
