West Longitude,South Latitude,East Longitude,North Latitude,IDgrid,Valid
-49.373009545,-25.6035751933,-49.3689272723,-25.5976021894,355,0
-49.3689272723,-25.6035751933,-49.3648449996,-25.5976021894,356,0
-49.3648449996,-25.6035751933,-49.3607627268,-25.5976021894,357,0
-49.3607627268,-25.6035751933,-49.3566804541,-25.5976021894,358,0
-49.3566804541,-25.6035751933,-49.3525981813,-25.5976021894,359,0
-49.3525981813,-25.6035751933,-49.3485159086,-25.5976021894,360,1
-49.3485159086,-25.6035751933,-49.3444336359,-25.5976021894,361,1
-49.3444336359,-25.6035751933,-49.3403513631,-25.5976021894,362,1
-49.3403513631,-25.6035751933,-49.3362690904,-25.5976021894,363,1
-49.3362690904,-25.6035751933,-49.3321868176,-25.5976021894,364,1
-49.3321868176,-25.6035751933,-49.3281045449,-25.5976021894,365,1
-49.3281045449,-25.6035751933,-49.3240222722,-25.5976021894,366,1
-49.3240222722,-25.6035751933,-49.3199399994,-25.5976021894,367,1
-49.3199399994,-25.6035751933,-49.3158577267,-25.5976021894,368,1
-49.3158577267,-25.6035751933,-49.3117754539,-25.5976021894,369,1
-49.3117754539,-25.6035751933,-49.3076931812,-25.5976021894,370,1
-49.3076931812,-25.6035751933,-49.3036109085,-25.5976021894,371,1
-49.3036109085,-25.6035751933,-49.2995286357,-25.5976021894,372,1
-49.2995286357,-25.6035751933,-49.295446363,-25.5976021894,373,1
-49.295446363,-25.6035751933,-49.2913640902,-25.5976021894,374,1
-49.2913640902,-25.6035751933,-49.2872818175,-25.5976021894,375,1
-49.2872818175,-25.6035751933,-49.2831995448,-25.5976021894,376,1
-49.2831995448,-25.6035751933,-49.279117272,-25.5976021894,377,1
-49.279117272,-25.6035751933,-49.2750349993,-25.5976021894,378,1
-49.2750349993,-25.6035751933,-49.2709527265,-25.5976021894,379,1
-49.2709527265,-25.6035751933,-49.2668704538,-25.5976021894,380,1
-49.2668704538,-25.6035751933,-49.2627881811,-25.5976021894,381,1
-49.2627881811,-25.6035751933,-49.2587059083,-25.5976021894,382,1
-49.2587059083,-25.6035751933,-49.2546236356,-25.5976021894,383,0
-49.2546236356,-25.6035751933,-49.2505413628,-25.5976021894,384,0
-49.2505413628,-25.6035751933,-49.2464590901,-25.5976021894,385,0
-49.2464590901,-25.6035751933,-49.2423768174,-25.5976021894,386,0
-49.2423768174,-25.6035751933,-49.2382945446,-25.5976021894,387,0
